X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Mn_wt%,Si_wt%,Fe_wt% (balance),Ms_C,PREN,Strength_proxy_MPa,Cost_USD_per_kg,KgCO2e_per_kg,Ms_ok_(>=200C),Fe_balance_ok_(>80%),Service_T_C (info),score_noN
Mn,0.1,11.0,0.0,,,0.0,,88.9,363.6,11.0,195.13880916664849,1.393,2.441,True,True,20,27.360594045833246
Mn,0.1,12.0,0.0,,,0.0,,87.9,351.5,12.0,200.3004980340309,1.455,2.481,True,True,20,27.133002490170153
Mn,0.1,13.0,0.0,,,0.0,,86.9,339.4,13.0,205.25123614544913,1.518,2.521,True,True,20,26.903656180727243
Mo,0.1,11.0,0.0,2.5,,,,86.4,344.85,19.25,384.8754687767513,1.625,2.891,True,True,20,34.52187734388375
Mo,0.1,12.0,0.0,2.5,,,,85.4,332.75,20.25,390.0371576441337,1.688,2.931,True,True,20,34.29358578822067
Mo,0.1,13.0,0.0,2.5,,,,84.4,320.65,21.25,394.9878957555519,1.751,2.971,True,True,20,34.06423947877775
Ni,0.1,11.0,0.0,,0.0,,,88.9,363.6,11.0,195.13880916664849,1.393,2.441,True,True,20,27.360594045833246
Ni,0.1,12.0,0.0,,0.0,,,87.9,351.5,12.0,200.3004980340309,1.455,2.481,True,True,20,27.133002490170153
Ni,0.1,13.0,0.0,,0.0,,,86.9,339.4,13.0,205.25123614544913,1.518,2.521,True,True,20,26.903656180727243
Si,0.1,11.0,0.0,,,,2.5,86.4,363.6,11.0,226.76158576833228,1.425,2.491,True,True,20,27.496307928841667
Si,0.1,11.0,0.0,,,,2.0,86.9,363.6,11.0,223.4230804141104,1.419,2.481,True,True,20,27.483815402070555
Si,0.1,11.0,0.0,,,,1.5,87.4,363.6,11.0,219.63370659448023,1.412,2.471,True,True,20,27.469768532972406
